1호선,세마
분당선,소래포구
1호선,소사
우이신설선,솔밭공원
우이신설선,솔샘
1호선,송내
분당선,송도
5호선,송정
1호선,송탄
8호선,송파
9호선,송파나루
분당선,수내
7호선,수락산
4호선,수리산
경의중앙선,수색
3호선,수서
분당선,수서
1호선,수원
분당선,수원
분당선,수원시청
4호선,수유
신분당선,수지구청
8호선,수진
4호선,숙대입구
7호선,숭실대입구(살피재)
분당선,숭의
1호선,시청
2호선,시청
분당선,신갈
5호선,신금호
1호선,신길
5호선,신길
4호선,신길온천
분당선,신길온천
6호선,신내
경춘선,신내
9호선,신논현
2호선,신답
2호선,신당
6호선,신당
2호선,신대방
7호선,신대방삼거리
1호선,신도림
2호선,신도림
2호선,신림
9호선,신목동
9호선,신반포
9호선,신방화
3호선,신사
1호선,신설동
2호선,신설동
우이신설선,신설동
4호선,신용산
경의중앙선,신원
1호선,신이문
5호선,신정(은행정)
2호선,신정네거리
7호선,신중동
1호선,신창
2호선,신촌
경의중앙선,신촌(경의.중앙선)
분당선,신포
7호선,신풍
8호선,신흥
4호선,쌍문
1호선,쌍용(나사렛대)
1호선,아산
경의중앙선,아신
5호선,아차산(어린이대공원후문)
2호선,아현
3호선,안국
4호선,안산
분당선,안산
6호선,안암(고대병원앞)
1호선,안양
8호선,암사
3호선,압구정
분당선,압구정로데오
5호선,애오개
경의중앙선,야당
분당선,야목
분당선,야탑
3호선,약수
6호선,약수
경의중앙선,양수
경의중앙선,양원
3호선,양재
신분당선,양재
신분당선,양재시민의숲
경의중앙선,양정
1호선,양주
2호선,양천구청
9호선,양천향교
5호선,양평
경의중앙선,양평
7호선,어린이대공원(세종대)
분당선,어천
9호선,언주
5호선,여의나루
5호선,여의도
9호선,여의도
1호선,역곡
2호선,역삼
6호선,역촌
분당선,연수
3호선,연신내
6호선,연신내
9호선,염창
1호선,영등포
2호선,영등포구청
5호선,영등포구청
5호선,영등포시장
공항철도,영종
분당선,영통
3호선,오금
5호선,오금
1호선,오류동
분당선,오리
5호선,오목교(목동운동장앞)
분당선,오목천
경의중앙선,오빈
1호선,오산
1호선,오산대
4호선,오이도
분당선,오이도
3호선,옥수
경의중앙선,옥수
1호선,온수
7호선,온수
1호선,온양온천
9호선,올림픽공원
5호선,올림픽공원(한국체대)
2호선,왕십리
5호선,왕십리
경의중앙선,왕십리
분당선,왕십리
1호선,외대앞
2호선,용답
2호선,용두
